date,last_updated,link,tag,title
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
date,last_updated,link,tag,title
"August 25, 2021",1003 GMT,https://edition.cnn.com/2021/08/25/sport/paralympics-tokyo-2020-day-1-intl-hnk-spt/index.html,sport,Australia's Paige Greco wins first gold at Tokyo 2020 Paralympics as Japan battles Covid increase
"August 25, 2021",1353 GMT,https://edition.cnn.com/2021/08/25/football/premier-league-international-red-list-travel-spt-intl/index.html,football,Premier League clubs will not release players for international games in UK's red-list countries
"August 25, 2021",1438 GMT,https://edition.cnn.com/2021/08/25/football/kylian-mbappe-real-madrid-psg-spt-intl/index.html,football,"Real Madrid submit $188 million bid for PSG star Kylian Mbappé, according to reports"
"August 25, 2021",0838 GMT,https://edition.cnn.com/2021/08/25/world/yara-birkeland-norway-crewless-container-ship-spc-intl/index.html,world,"World's first crewless, zero emissions cargo ship will set sail in Norway"
"August 25, 2021",1757 GMT,https://edition.cnn.com/2021/08/25/tech/onlyfans-suspends-ban/index.html,tech,OnlyFans suspends proposed ban on sexually explicit content
